-927.2,686.7,300.0,-0.0,-1.0,0.0
-911.6,686.7,300.0,-0.0,-1.0,0.0
-895.9,686.7,300.0,-0.0,-1.0,0.0
-880.3,686.7,300.0,-0.0,-1.0,0.0
-864.6,686.7,300.0,-0.0,-1.0,0.0
-849.0,686.7,300.0,-0.0,-1.0,0.0
-833.3,686.7,300.0,-0.0,-1.0,0.0
-817.7,686.7,300.0,-0.0,-1.0,0.0
-802.0,686.7,300.0,-0.0,-1.0,0.0
-786.4,686.7,300.0,-0.0,-1.0,0.0
-770.7,686.7,300.0,-0.0,-1.0,0.0
-755.1,686.7,300.0,-0.0,-1.0,0.0
-739.5,686.7,300.0,-0.0,-1.0,0.0
-723.8,686.7,300.0,-0.0,-1.0,0.0
-708.2,686.7,300.0,-0.0,-1.0,0.0
-692.5,686.7,300.0,-0.0,-1.0,0.0
-676.9,686.7,300.0,-0.0,-1.0,0.0
-661.2,686.7,300.0,-0.0,-1.0,0.0
-645.6,686.7,300.0,-0.0,-1.0,0.0
-629.9,686.7,300.0,-0.0,-1.0,0.0
-614.3,686.7,300.0,-0.0,-1.0,0.0
-598.6,686.7,300.0,-0.0,-1.0,0.0
-583.0,686.7,300.0,-0.0,-1.0,0.0
-567.3,686.7,300.0,-0.0,-1.0,0.0
-551.7,686.7,300.0,-0.0,-1.0,0.0
-536.0,686.7,300.0,-0.0,-1.0,0.0
-520.4,686.7,300.0,-0.0,-1.0,0.0
-504.7,686.7,300.0,-0.0,-1.0,0.0
-927.2,686.7,284.2,-0.0,-1.0,0.0
-911.6,686.7,284.2,-0.0,-1.0,0.0
-895.9,686.7,284.2,-0.0,-1.0,0.0
-880.3,686.7,284.2,-0.0,-1.0,0.0
-864.6,686.7,284.2,-0.0,-1.0,0.0
-849.0,686.7,284.2,-0.0,-1.0,0.0
-833.3,686.7,284.2,-0.0,-1.0,0.0
-817.7,686.7,284.2,-0.0,-1.0,0.0
-802.0,686.7,284.2,-0.0,-1.0,0.0
-786.4,686.7,284.2,-0.0,-1.0,0.0
-770.7,686.7,284.2,-0.0,-1.0,0.0
-755.1,686.7,284.2,-0.0,-1.0,0.0
-739.5,686.7,284.2,-0.0,-1.0,0.0
-723.8,686.7,284.2,-0.0,-1.0,0.0
-708.2,686.7,284.2,-0.0,-1.0,0.0
-692.5,686.7,284.2,-0.0,-1.0,0.0
-676.9,686.7,284.2,-0.0,-1.0,0.0
-661.2,686.7,284.2,-0.0,-1.0,0.0
-645.6,686.7,284.2,-0.0,-1.0,0.0
-629.9,686.7,284.2,-0.0,-1.0,0.0
-614.3,686.7,284.2,-0.0,-1.0,0.0
-598.6,686.7,284.2,-0.0,-1.0,0.0
-583.0,686.7,284.2,-0.0,-1.0,0.0
-567.3,686.7,284.2,-0.0,-1.0,0.0
-551.7,686.7,284.2,-0.0,-1.0,0.0
-536.0,686.7,284.2,-0.0,-1.0,0.0
-520.4,686.7,284.2,-0.0,-1.0,0.0
-504.7,686.7,284.2,-0.0,-1.0,0.0
-927.2,686.7,268.4,-0.0,-1.0,0.0
-911.6,686.7,268.4,-0.0,-1.0,0.0
-895.9,686.7,268.4,-0.0,-1.0,0.0
-880.3,686.7,268.4,-0.0,-1.0,0.0
-864.6,686.7,268.4,-0.0,-1.0,0.0
-849.0,686.7,268.4,-0.0,-1.0,0.0
-833.3,686.7,268.4,-0.0,-1.0,0.0
-817.7,686.7,268.4,-0.0,-1.0,0.0
-802.0,686.7,268.4,-0.0,-1.0,0.0
-786.4,686.7,268.4,-0.0,-1.0,0.0
-770.7,686.7,268.4,-0.0,-1.0,0.0
-755.1,686.7,268.4,-0.0,-1.0,0.0
